iter	Passed	Remaining
0	0	40
1	0	39
2	1	38
3	1	34
4	1	32
5	2	33
6	2	32
7	2	32
8	3	32
9	3	31
10	3	31
11	4	30
12	4	29
13	4	28
14	4	28
15	5	27
16	5	26
17	5	26
18	6	25
19	6	25
20	6	25
21	7	24
22	7	24
23	7	24
24	7	23
25	8	23
26	8	22
27	8	22
28	9	22
29	9	21
30	9	21
31	9	21
32	10	20
33	10	20
34	10	20
35	11	19
36	11	19
37	12	19
38	12	19
39	12	19
40	13	18
41	13	18
42	13	17
43	13	17
44	14	17
45	14	17
46	15	16
47	15	16
48	15	16
49	16	16
50	16	15
51	17	15
52	17	15
53	17	15
54	18	14
55	18	14
56	19	14
57	19	14
58	19	13
59	20	13
60	20	13
61	21	12
62	21	12
63	21	12
64	22	11
65	22	11
66	22	11
67	23	10
68	23	10
69	24	10
70	24	10
71	24	9
72	25	9
73	25	9
74	26	8
75	26	8
76	27	8
77	27	7
78	28	7
79	28	7
80	28	6
81	29	6
82	29	6
83	30	5
84	30	5
85	31	5
86	31	4
87	32	4
88	32	4
89	32	3
90	33	3
91	33	2
92	34	2
93	34	2
94	34	1
95	35	1
96	35	1
97	36	0
98	36	0
99	36	0
